index predict label sigmoid
42 0.0 [1] 0.18849137
81 0.0 [1] 0.023195654
111 0.0 [1] 0.0074146204
124 0.0 [1] 0.13281615
125 1.0 [0] 0.60057217
137 1.0 [0] 0.97628796
148 1.0 [0] 0.97852033
153 0.0 [1] 0.0344158
155 1.0 [0] 0.5433182
161 1.0 [0] 0.9978454
170 0.0 [1] 0.003931508
173 1.0 [0] 0.9520361
183 0.0 [1] 0.07246121
188 1.0 [0] 0.9277215
189 0.0 [1] 0.026049087
230 0.0 [1] 0.03306536
243 1.0 [0] 0.8184962
245 1.0 [0] 0.9991891
254 0.0 [1] 0.060690507
257 0.0 [1] 0.31048283
261 0.0 [1] 0.4994262
274 1.0 [0] 0.9987974
275 0.0 [1] 0.09440335
279 1.0 [0] 0.98029834
284 1.0 [0] 0.71678525
287 0.0 [1] 0.21609996
292 0.0 [1] 0.44711572
302 0.0 [1] 0.22905706
304 1.0 [0] 0.6765415
307 0.0 [1] 0.18210202
313 1.0 [0] 0.9839755
325 1.0 [0] 0.5194996
332 0.0 [1] 0.38431478
342 1.0 [0] 0.7998228
343 1.0 [0] 0.9976433
344 1.0 [0] 0.9802649
350 0.0 [1] 0.22235568
358 1.0 [0] 0.5677145
369 1.0 [0] 0.9974412
375 1.0 [0] 0.98274994
381 0.0 [1] 0.20696591
384 0.0 [1] 0.42823368
419 0.0 [1] 0.08726539
425 1.0 [0] 0.99117017
428 1.0 [0] 0.83346313
445 0.0 [1] 0.0029750057
446 0.0 [1] 0.42395473
448 0.0 [1] 0.09938806
478 0.0 [1] 0.3493809
481 1.0 [0] 0.97530884
484 0.0 [1] 0.03255273
501 1.0 [0] 0.8747715
505 0.0 [1] 0.44066945
515 0.0 [1] 0.040426377
556 1.0 [0] 0.9988728
560 0.0 [1] 0.15414858
569 0.0 [1] 0.25368407
571 1.0 [0] 0.79669076
576 1.0 [0] 0.619152
586 1.0 [0] 0.97661567
596 1.0 [0] 0.9695169
615 1.0 [0] 0.5176167
619 0.0 [1] 0.00578796
636 1.0 [0] 0.5050262
638 1.0 [0] 0.6682547
643 0.0 [1] 0.01175977
655 0.0 [1] 0.38724336
677 1.0 [0] 0.9954572
682 0.0 [1] 0.015954876
697 1.0 [0] 0.99206233
707 1.0 [0] 0.6495581
710 1.0 [0] 0.5922269
720 0.0 [1] 0.4756521
728 1.0 [0] 0.8002018
730 0.0 [1] 0.06399256
731 0.0 [1] 0.16565242
738 0.0 [1] 0.26947
749 0.0 [1] 0.065772295
752 1.0 [0] 0.79532593
753 1.0 [0] 0.9647221
770 1.0 [0] 0.5694303
775 1.0 [0] 0.93310195
787 0.0 [1] 0.021860784
814 1.0 [0] 0.5635502
829 0.0 [1] 0.031974662
833 0.0 [1] 0.088586785
837 0.0 [1] 0.17023118
849 0.0 [1] 0.0031277617
853 0.0 [1] 0.0025653448
863 1.0 [0] 0.9981647
913 1.0 [0] 0.79617447
918 1.0 [0] 0.69919336
926 0.0 [1] 0.00084348384
938 0.0 [1] 0.40233502
941 0.0 [1] 0.018709967
942 1.0 [0] 0.9698038
946 0.0 [1] 0.048649352
952 0.0 [1] 0.038033776
955 1.0 [0] 0.9180949
968 0.0 [1] 0.10117365
971 1.0 [0] 0.99296737
976 0.0 [1] 0.2544858
981 1.0 [0] 0.9742744
982 0.0 [1] 0.00058269396
986 1.0 [0] 0.98495954
1002 1.0 [0] 0.5639856
1020 0.0 [1] 0.39910004
1031 0.0 [1] 0.47020862
1034 0.0 [1] 0.40361744
1035 1.0 [0] 0.8853943
1037 1.0 [0] 0.9962102
1040 0.0 [1] 0.03807455
1044 1.0 [0] 0.8576716
1048 0.0 [1] 0.1940191
1054 0.0 [1] 0.38744232
1057 0.0 [1] 0.14171454
1078 1.0 [0] 0.5038547
1095 0.0 [1] 0.31242287
1100 0.0 [1] 0.39728704
1103 1.0 [0] 0.99749446
1114 0.0 [1] 0.24984221
1116 0.0 [1] 0.09332546
1131 0.0 [1] 0.3490897
1142 0.0 [1] 0.23342513
1149 1.0 [0] 0.99693835
1154 1.0 [0] 0.8551056
1173 1.0 [0] 0.99992883
1192 1.0 [0] 0.99739885
1194 0.0 [1] 0.024024427
1200 1.0 [0] 0.50987685
1213 0.0 [1] 0.43232948
1214 1.0 [0] 0.75847536
1229 1.0 [0] 0.99957854
1239 1.0 [0] 0.818198
1242 0.0 [1] 0.27123836
1245 0.0 [1] 0.039112236
1248 1.0 [0] 0.8038785
1265 1.0 [0] 0.9261175
1285 0.0 [1] 0.031361688
1291 1.0 [0] 0.9937471
1292 0.0 [1] 0.07526025
1304 1.0 [0] 0.9988746
1315 0.0 [1] 0.07681414
1335 0.0 [1] 0.21209095
1342 1.0 [0] 0.93625605
1344 1.0 [0] 0.782506
1345 0.0 [1] 0.05260536
1350 1.0 [0] 0.55029434
1352 0.0 [1] 0.06359561
1379 1.0 [0] 0.9904945
1401 1.0 [0] 0.9303891
1411 1.0 [0] 0.9786524
1414 0.0 [1] 0.113962345
1419 0.0 [1] 0.0062776227
1427 0.0 [1] 0.31557557
1429 0.0 [1] 0.028896345
1430 0.0 [1] 0.036287464
1433 0.0 [1] 0.021678079
1446 1.0 [0] 0.98611265
1468 1.0 [0] 0.96855897
1478 1.0 [0] 0.8551056
1486 0.0 [1] 0.34481007
1487 0.0 [1] 0.39862785
1498 0.0 [1] 0.09843995
1515 0.0 [1] 0.13302441
1519 1.0 [0] 0.6152296
1522 0.0 [1] 0.07144508
1533 1.0 [0] 0.5400158
1548 1.0 [0] 0.8125391
1552 0.0 [1] 0.3981562
1597 0.0 [1] 0.4257858
1606 1.0 [0] 0.9382772
1623 1.0 [0] 0.93428105
1631 1.0 [0] 0.7612964
1634 1.0 [0] 0.9732387
1635 0.0 [1] 0.0061678397
1644 1.0 [0] 0.73013204
1647 0.0 [1] 0.4317545
1654 0.0 [1] 0.2937726
1655 1.0 [0] 0.5093114
1664 0.0 [1] 0.33382776
1679 0.0 [1] 0.465584
1680 1.0 [0] 0.74972534
1683 1.0 [0] 0.9455914
1690 1.0 [0] 0.92164123
1692 0.0 [1] 0.22376576
1697 1.0 [0] 0.70051676
1702 1.0 [0] 0.86880934
1708 0.0 [1] 0.22828731
1715 0.0 [1] 0.13625014
1717 1.0 [0] 0.9527544
1718 0.0 [1] 0.152072
1721 0.0 [1] 0.044595696
1733 1.0 [0] 0.840784
1756 0.0 [1] 0.42325208
1773 0.0 [1] 0.17673825
1778 0.0 [1] 0.044080306
1780 1.0 [0] 0.93387556
1781 0.0 [1] 0.49859157
1784 0.0 [1] 0.34516272
1804 1.0 [0] 0.505648
1806 0.0 [1] 0.2597198
1824 0.0 [1] 0.030767642
1846 0.0 [1] 0.3567696
1850 0.0 [1] 0.2003206
1863 0.0 [1] 0.15080059
1880 1.0 [0] 0.99940956
1881 0.0 [1] 0.14830425
1883 1.0 [0] 0.9973138
1923 0.0 [1] 0.11729287
1931 0.0 [1] 0.33053946
1942 1.0 [0] 0.7647527
1947 0.0 [1] 0.04146444
1957 0.0 [1] 0.016341286
1972 1.0 [0] 0.9560139
1981 0.0 [1] 0.055925317
1982 0.0 [1] 0.2405883
1990 0.0 [1] 0.41770327
1996 0.0 [1] 0.26172686
2004 1.0 [0] 0.776195
2045 0.0 [1] 0.0052344846
2059 0.0 [1] 0.4724872
2060 0.0 [1] 0.19154353
2081 1.0 [0] 0.81089634
2092 0.0 [1] 0.10700848
2105 0.0 [1] 0.00029171837
2112 0.0 [1] 0.20451742
2121 1.0 [0] 0.83168817
2126 0.0 [1] 0.23606709
2145 0.0 [1] 0.14529559
2194 0.0 [1] 0.12433397
2213 1.0 [0] 0.8245445
2217 1.0 [0] 0.9983511
2250 0.0 [1] 0.4994871
2255 0.0 [1] 0.00800296
2260 1.0 [0] 0.9982864
2266 0.0 [1] 0.22150311
2274 0.0 [1] 0.2087043
2277 1.0 [0] 0.97953963
2280 0.0 [1] 0.058755483
2299 1.0 [0] 0.98654175
2304 1.0 [0] 0.93939155
2314 0.0 [1] 0.0009318423
2321 1.0 [0] 0.92394453
2325 0.0 [1] 0.21323143
2333 1.0 [0] 0.99572587
2344 1.0 [0] 0.5747797
2347 0.0 [1] 0.25453034
2349 0.0 [1] 0.27919623
2379 1.0 [0] 0.8078641
